14:45:45.189 [main] === Redstone logger started ===
14:45:45.190 [main] RedstoneManager created, world=com.voxel.World@4ddced80 chunkManager=com.voxel.world.ChunkManager@1534f01b
14:46:02.071 [LogicThread] setPlayerPosition (1118,71,930) player moved
14:46:02.103 [LogicThread] setPlayerPosition (1118,70,930) player moved
14:46:02.139 [LogicThread] setPlayerPosition (1118,69,930) player moved
14:46:02.176 [LogicThread] setPlayerPosition (1118,68,930) player moved
14:46:02.208 [LogicThread] setPlayerPosition (1118,67,930) player moved
14:46:02.364 [main] onBlockChanged (1119,67,929) ADDED to components (block=29) wasComp=false needsRebuild=true
14:46:02.364 [main] notifyNeighbors (1119,67,929) notifying all 6 neighbors
14:46:02.364 [main] onBlockChanged (1118,67,929) REMOVED from components (block=0) wasComp=false needsRebuild=false
14:46:02.364 [main] onBlockChanged (1120,67,929) REMOVED from components (block=0) wasComp=false needsRebuild=false
14:46:02.364 [main] onBlockChanged (1119,66,929) REMOVED from components (block=1) wasComp=false needsRebuild=false
14:46:02.364 [main] onBlockChanged (1119,68,929) REMOVED from components (block=0) wasComp=false needsRebuild=false
14:46:02.364 [main] onBlockChanged (1119,67,928) REMOVED from components (block=0) wasComp=false needsRebuild=false
14:46:02.364 [main] onBlockChanged (1119,67,930) REMOVED from components (block=0) wasComp=false needsRebuild=false
14:46:02.370 [LogicThread] tickLamps: needsRebuild=true, componentCount=1 starting rebuild
14:46:02.370 [LogicThread] rebuildNetwork/Phase1 (1119,67,929) WIRE is not a source, skipping
14:46:02.370 [LogicThread] rebuildNetwork: Phase1 found 0 sources, starting BFS from 0 nodes
14:46:02.370 [LogicThread] rebuildNetwork: Phase2 BFS propagated 0 nodes
14:46:02.370 [LogicThread] rebuildNetwork: Phase3 torches: 0 ON, 0 OFF, 0 cooldown
14:46:02.370 [LogicThread] rebuildNetwork: Phase4 BFS propagated 0 nodes
14:46:02.370 [LogicThread] rebuildNetwork: done, total powerLevels=0
14:46:02.370 [LogicThread] encodeWirePowerLevels (1119,67,929) encoding power=0
14:46:02.370 [LogicThread] encodeWirePowerLevels: encoded 1 wires
14:46:02.370 [LogicThread] tickLamps: rebuild+encode done, powerLevels size=0
14:46:04.193 [LogicThread] setPlayerPosition (1118,67,930) player moved
14:46:05.626 [REPEATED x3]
14:46:05.626 [LogicThread] setPlayerPosition (1118,67,930) player moved
14:46:05.643 [LogicThread] setPlayerPosition (1118,67,929) player moved
14:46:05.659 [LogicThread] setPlayerPosition (1119,67,929) player moved
14:46:05.676 [LogicThread] setPlayerPosition (1119,68,929) player moved
14:46:05.709 [REPEATED x1]
14:46:05.709 [LogicThread] setPlayerPosition (1120,68,929) player moved
14:46:05.742 [LogicThread] setPlayerPosition (1120,69,928) player moved
14:46:05.775 [LogicThread] setPlayerPosition (1121,70,928) player moved
14:46:05.840 [REPEATED x1]
14:46:05.840 [LogicThread] setPlayerPosition (1122,71,927) player moved
14:46:05.904 [REPEATED x1]
14:46:05.904 [LogicThread] setPlayerPosition (1123,72,927) player moved
14:46:05.968 [REPEATED x1]
14:46:05.969 [LogicThread] setPlayerPosition (1123,73,926) player moved
14:46:06.002 [LogicThread] setPlayerPosition (1124,73,926) player moved
14:46:06.068 [REPEATED x1]
14:46:06.068 [LogicThread] setPlayerPosition (1124,74,926) player moved
14:46:06.134 [REPEATED x1]
14:46:06.134 [LogicThread] setPlayerPosition (1125,74,926) player moved
14:46:06.166 [LogicThread] setPlayerPosition (1125,74,925) player moved
14:46:06.297 [REPEATED x3]
14:46:06.297 [LogicThread] setPlayerPosition (1126,73,925) player moved
14:46:06.357 [REPEATED x1]
14:46:06.357 [LogicThread] setPlayerPosition (1126,72,925) player moved
14:46:06.410 [REPEATED x1]
14:46:06.410 [LogicThread] setPlayerPosition (1126,71,925) player moved
14:46:06.452 [REPEATED x1]
14:46:06.452 [LogicThread] setPlayerPosition (1126,70,924) player moved
14:46:06.477 [LogicThread] setPlayerPosition (1126,69,924) player moved
14:46:06.510 [LogicThread] setPlayerPosition (1126,68,924) player moved
14:46:06.545 [LogicThread] setPlayerPosition (1127,67,924) player moved
14:46:06.836 [REPEATED x3]
14:46:06.836 [LogicThread] setPlayerPosition (1127,68,925) player moved
14:46:06.868 [LogicThread] setPlayerPosition (1126,68,925) player moved
14:46:06.937 [REPEATED x1]
14:46:06.937 [LogicThread] setPlayerPosition (1126,69,925) player moved
14:46:06.976 [LogicThread] setPlayerPosition (1125,69,926) player moved
14:46:07.009 [LogicThread] setPlayerPosition (1125,70,926) player moved
14:46:07.098 [REPEATED x2]
14:46:07.098 [LogicThread] setPlayerPosition (1124,71,926) player moved
14:46:07.140 [REPEATED x1]
14:46:07.141 [LogicThread] setPlayerPosition (1124,71,927) player moved
14:46:07.249 [REPEATED x4]
14:46:07.250 [LogicThread] setPlayerPosition (1124,72,927) player moved
14:46:07.314 [REPEATED x2]
14:46:07.314 [LogicThread] setPlayerPosition (1123,72,927) player moved
14:46:07.440 [REPEATED x2]
14:46:07.440 [LogicThread] setPlayerPosition (1123,72,928) player moved
14:46:07.504 [REPEATED x1]
14:46:07.504 [LogicThread] setPlayerPosition (1123,71,928) player moved
14:46:07.570 [REPEATED x2]
14:46:07.570 [LogicThread] setPlayerPosition (1123,70,928) player moved
14:46:07.609 [REPEATED x1]
14:46:07.609 [LogicThread] setPlayerPosition (1123,69,928) player moved
14:46:07.634 [LogicThread] setPlayerPosition (1123,68,928) player moved
14:46:07.675 [REPEATED x1]
14:46:07.675 [LogicThread] setPlayerPosition (1123,67,928) player moved
14:46:07.985 [LogicThread] setPlayerPosition (1122,67,928) player moved
14:46:08.050 [REPEATED x1]
14:46:08.050 [LogicThread] setPlayerPosition (1122,68,929) player moved
14:46:08.083 [LogicThread] setPlayerPosition (1121,68,929) player moved
14:46:08.147 [REPEATED x1]
14:46:08.147 [LogicThread] setPlayerPosition (1121,69,929) player moved
14:46:08.212 [REPEATED x1]
14:46:08.213 [LogicThread] setPlayerPosition (1120,69,930) player moved
14:46:08.245 [LogicThread] setPlayerPosition (1120,70,930) player moved
14:46:08.373 [REPEATED x3]
14:46:08.373 [LogicThread] setPlayerPosition (1119,70,930) player moved
14:46:08.437 [REPEATED x1]
14:46:08.437 [LogicThread] setPlayerPosition (1119,71,931) player moved
14:46:08.469 [LogicThread] setPlayerPosition (1119,70,931) player moved
14:46:08.566 [REPEATED x2]
14:46:08.566 [LogicThread] setPlayerPosition (1119,69,931) player moved
14:46:08.630 [REPEATED x1]
14:46:08.630 [LogicThread] setPlayerPosition (1119,68,931) player moved
14:46:08.664 [LogicThread] setPlayerPosition (1118,68,931) player moved
14:46:08.696 [LogicThread] setPlayerPosition (1118,67,931) player moved
14:46:11.497 [REPEATED x1]
14:46:11.498 [LogicThread] setPlayerPosition (1118,67,932) player moved
14:46:11.515 [LogicThread] setPlayerPosition (1118,67,931) player moved
14:46:11.548 [REPEATED x1]
14:46:11.548 [LogicThread] setPlayerPosition (1118,68,931) player moved
14:46:11.582 [REPEATED x1]
